,Spouse_A_First_Name,Spouse_B_First_Name,Marriage_Year,counts
0,Aaron,Amy,1976,1
1,Aaron,Amy,1991,3
2,Aaron,Amy,1992,2
3,Aaron,Amy,1993,1
4,Aaron,Amy,1995,4
5,Aaron,Amy,1997,2
6,Aaron,Amy,1998,3
7,Aaron,Amy,2000,5
8,Aaron,Amy,2001,5
9,Aaron,Amy,2002,7
10,Aaron,Amy,2003,11
11,Aaron,Amy,2005,2
12,Aaron,Amy,2006,2
13,Aaron,Amy,2010,2
14,Aaron,Amy,2012,4
15,Aaron,Amy,2014,2
16,Aaron,Andrea,1994,3
17,Aaron,Andrea,1995,4
18,Aaron,Andrea,1997,2
19,Aaron,Andrea,2002,2
20,Aaron,Andrea,2005,2
21,Aaron,Andrea,2006,2
22,Aaron,Andrea,2008,2
23,Aaron,Andrea,2009,6
24,Aaron,Andrea,2010,2
25,Aaron,Andrea,2013,2
26,Aaron,Andrea,2014,2
27,Aaron,Elizabeth,1985,1
28,Aaron,Elizabeth,1991,2
29,Aaron,Elizabeth,1997,2
30,Aaron,Elizabeth,1999,2
31,Aaron,Elizabeth,2001,4
32,Aaron,Elizabeth,2004,4
33,Aaron,Elizabeth,2006,4
34,Aaron,Elizabeth,2007,4
35,Aaron,Elizabeth,2010,3
36,Aaron,Elizabeth,2011,2
37,Aaron,Elizabeth,2012,3
38,Aaron,Elizabeth,2013,2
39,Aaron,Elizabeth,2014,2
40,Aaron,Erin,1996,4
41,Aaron,Erin,1997,1
42,Aaron,Erin,1998,1
43,Aaron,Erin,1999,2
44,Aaron,Erin,2001,4
45,Aaron,Erin,2004,4
46,Aaron,Erin,2007,3
47,Aaron,Erin,2008,6
48,Aaron,Erin,2009,4
49,Aaron,Erin,2010,3
50,Aaron,Erin,2011,4
51,Aaron,Erin,2014,2
52,Aaron,Jennifer,1991,2
53,Aaron,Jennifer,1992,2
54,Aaron,Jennifer,1994,1
55,Aaron,Jennifer,1995,2
56,Aaron,Jennifer,1996,8
57,Aaron,Jennifer,1997,3
58,Aaron,Jennifer,1998,6
59,Aaron,Jennifer,1999,7
60,Aaron,Jennifer,2000,5
61,Aaron,Jennifer,2001,3
62,Aaron,Jennifer,2002,8
63,Aaron,Jennifer,2003,5
64,Aaron,Jennifer,2004,10
65,Aaron,Jennifer,2005,4
66,Aaron,Jennifer,2006,6
67,Aaron,Jennifer,2007,8
68,Aaron,Jennifer,2008,1
69,Aaron,Jennifer,2009,5
70,Aaron,Jennifer,2010,6
71,Aaron,Jennifer,2011,4
72,Aaron,Jennifer,2012,6
73,Aaron,Jennifer,2013,4
74,Aaron,Jennifer,2014,2
75,Aaron,Jennifer,2015,2
76,Aaron,Jessica,1994,2
77,Aaron,Jessica,1995,1
78,Aaron,Jessica,1996,2
79,Aaron,Jessica,1998,1
80,Aaron,Jessica,2001,2
81,Aaron,Jessica,2002,4
82,Aaron,Jessica,2003,4
83,Aaron,Jessica,2006,6
84,Aaron,Jessica,2007,3
85,Aaron,Jessica,2008,9
86,Aaron,Jessica,2009,4
87,Aaron,Jessica,2010,2
88,Aaron,Jessica,2011,2
