Spouse_A_First_Name,Spouse_B_First_Name,counts
Aaron,Jennifer,110
Aaron,Sarah,61
Aaron,Amy,56
Aaron,Jessica,48
Aaron,Katherine,43
Aaron,Kimberly,38
Aaron,Erin,38
Aaron,Rachel,36
Aaron,Lisa,35
Aaron,Elizabeth,35
Aaron,Rebecca,34
Aaron,Michelle,33
Aaron,Megan,30
Aaron,Julie,30
Aaron,Andrea,29
Abbie,Jason,6
Abby,Michael,8
Abeba,Daniel,6
Abebe,Mulu,6
Abel,Martha,6
Abel,Maria,6
Abigail,Christopher,17
Abigail,Robert,13
Abigail,Michael,12
Abigail,David,12
Abigail,Steven,11
Abigail,William,10
Abigail,Joshua,10
Abigail,Matthew,10
Abigail,Andrew,9
Abigail,James,9
Abigail,Ryan,9
Abigail,Daniel,8
Abigail,John,8
Abigail,Kevin,8
Abigail,Charles,7
Abraham,Deborah,7
Abraham,Mary,7
Abraham,Maria,6
Acp,Acp,48
Ada,Robert,8
Ada,Daniel,6
Adam,Jennifer,99
Adam,Jessica,39
Adam,Sarah,38
Adam,Michelle,38
Adam,Lisa,36
Adam,Heather,35
Adam,Erin,34
Adam,Elizabeth,33
Adam,Kimberly,32
Adam,Melissa,32
Adam,Stephanie,31
Adam,Amy,30
Adam,Megan,30
Adam,Angela,29
Adam,Ashley,29
Adele,David,9
Adele,Robert,7
Adria,Michael,6
Adrian,Maria,13
Adrian,Jessica,12
Adrian,Amanda,10
Adrian,Michael,10
Adrian,Mary,9
Adrian,Carol,8
Adrian,Linda,8
Adrian,Lisa,8
Adrian,Rebecca,8
Adrian,Stephanie,7
Adrian,Jennifer,7
Adrian,Melissa,7
Adrian,Laura,7
Adrian,Karen,6
Adrian,Michelle,6
Adriana,Juan,19
Adriana,Jose,14
Adriana,David,10
Adriana,Matthew,9
Adriana,John,8
Adriana,Daniel,8
Adriana,Miguel,6
Adriana,Christopher,6
Adriana,Nicholas,6
Adrianne,Brian,8
Adrianne,Michael,6
Adrienne,Michael,25
Adrienne,James,15
Adrienne,Andrew,12
Adrienne,Jeffrey,11
Adrienne,Robert,10
Adrienne,John,10
Adrienne,Steven,10
Adrienne,William,9
Adrienne,Christopher,9
Adrienne,Stephen,9
Adrienne,Daniel,9
Adrienne,Thomas,9
Adrienne,David,8
Adrienne,Matthew,8
Adrienne,Scott,8
Agnes,John,12
Agnes,David,9
Agnes,George,8
Agnes,Steven,8
Agnes,Christopher,7
Agnes,Robert,6
Agnes,Richard,6
Agustin,Maria,6
Ahmad,Linda,8
Ahmed,Fartun,6
Ai,Kenny,6
Aida,David,8
Aileen,Michael,10
Aileen,Brian,9
Aileen,Daniel,9
Aileen,Patrick,6
Aileen,Larry,6
Aimee,Michael,20
Aimee,David,19
Aimee,John,19
Aimee,Paul,14
Aimee,James,14
Aimee,Christopher,13
Aimee,Jonathan,12
Aimee,Ryan,11
Aimee,Matthew,11
Aimee,Jason,10
Aimee,William,7
Aimee,Joshua,7
Aimee,Edward,7
Aimee,Bryan,6
Aimee,Bruce,6
Aine,John,6
Akiko,Roger,7
Akiko,Joseph,6
Akiko,Eric,6
Alaina,Timothy,8
Alan,Susan,86
Alan,Mary,69
Alan,Linda,62
Alan,Patricia,51
Alan,Barbara,48
Alan,Elizabeth,40
Alan,Lisa,38
Alan,Carol,38
Alan,Nancy,38
Alan,Jennifer,31
Alan,Donna,31
Alan,Pamela,30
Alan,Deborah,29
Alan,Michelle,29
Alan,Karen,27
Alana,Michael,10
Alana,Jason,9
Alana,Mark,8
Alana,David,7
Alana,Timothy,6
Alana,Robert,6
Alana,Jeffrey,6
Alanna,Michael,6
Alba,Ricardo,7
Albert,Mary,42
Albert,Patricia,28
Albert,Barbara,27
Albert,Linda,23
Albert,Karen,22
Albert,Susan,21
Albert,Nancy,20
Albert,Sandra,19
